City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,yuzhno-kurilsk,44.0306,145.8556,283.6,60,0,2.24,RU,1728856839
153,selkirk,50.1436,-96.8845,282.14,71,91,3.58,CA,1728856840
154,tipasa,36.5897,2.4475,301.55,39,74,5.28,DZ,1728856842
155,cabo san lucas,22.8909,-109.9124,301.75,66,0,3.84,MX,1728856664
156,lensk,60.7253,114.9278,264.98,84,59,3.21,RU,1728856845
157,sorsk,54.0033,90.2467,266.6,71,38,0.41,RU,1728856847
158,la passe,45.5549,-0.8967,291.11,84,29,3.93,FR,1728856848
159,rundu,-17.9333,19.7667,294.83,48,93,6.22,NA,1728856849
160,vilyuysk,63.7553,121.6247,261.44,99,97,1.47,RU,1728856851
161,lompoc,34.6391,-120.4579,292.38,86,100,6.17,US,1728856851
162,villa elisa,-25.3667,-57.6167,303.73,54,0,2.57,PY,1728856853
163,asekeyevo,53.5742,52.7972,272.81,50,1,1.05,RU,1728856855
164,soavinandriana,-19.1667,46.7333,285.06,70,73,3.03,MG,1728856856
165,sanchazi,42.0817,126.6003,282.87,82,100,1.83,CN,1728856667
166,talpa de allende,20.3833,-104.8167,297.91,63,27,1.52,MX,1728856859
167,avarua,-21.2078,-159.775,299.18,73,75,8.23,CK,1728856860
168,tuy hoa,13.0833,109.3,296.78,93,85,1.34,VN,1728856862
169,carnarvon,-24.8667,113.6333,291.22,76,0,5.74,AU,1728856863
170,marathon,44.9,-89.7668,279.89,88,100,6.17,US,1728856864
171,bossangoa,6.4926,17.4552,294.51,95,100,2.06,CF,1728856865
172,stanley,54.868,-1.6985,278.16,84,0,0.51,GB,1728856601
173,anjangaon,21.1631,77.3094,296.59,88,100,2.07,IN,1728856868
174,sao joao da barra,-21.6403,-41.0511,297.2,82,100,6.03,BR,1728856870
175,prince rupert,54.3161,-130.3201,284.2,92,0,2.06,CA,1728856871
176,hauterive,46.0901,3.4459,286.46,93,13,1.38,FR,1728856872
177,yaren,-0.5472,166.916,301.63,75,10,7.5,NR,1728856873
178,thompson,55.7435,-97.8558,274.24,64,75,2.06,CA,1728856875
179,khilok,51.3674,110.4676,265.53,78,57,4.66,RU,1728856876
180,kavaratti,10.5669,72.642,299.63,84,93,2.13,IN,1728856877
181,sitka,57.0531,-135.33,283.25,81,100,2.64,US,1728856880
182,aki,33.5,133.9,290.12,82,16,3.53,JP,1728856881
183,kalmunai,7.4167,81.8167,298.01,90,100,3.3,LK,1728856883
184,najran,17.4924,44.1277,295.19,24,17,2.09,SA,1728856885
185,kayangel,8.0823,134.7173,302.27,74,74,4.35,PW,1728856886
186,nelson bay,-32.7167,152.15,292.09,67,98,1.79,AU,1728856887
187,tofol,5.3248,163.0078,304.03,66,75,3.09,FM,1728856889
188,sarkand,45.41,79.9186,283.75,73,100,1.07,KZ,1728856890
189,olonkinbyen,70.9221,-8.7187,271.89,94,100,8.69,SJ,1728856891
190,san juan,-31.5375,-68.5364,299.14,36,40,4.32,AR,1728856802
191,villa la angostura,-40.7617,-71.6463,284.28,78,41,1.63,AR,1728856820
192,kadoma,34.7333,135.5833,290.64,88,15,1.54,JP,1728856896
193,agua prieta,31.3,-109.5667,306.59,8,0,4.12,MX,1728856897
194,vila velha,-20.3297,-40.2925,297.12,88,40,6.17,BR,1728856899
195,cinisi,38.1562,13.1073,291.71,72,0,2.06,IT,1728856901
196,faya-largeau,17.9257,19.1043,303.88,14,77,5.51,TD,1728856902
197,argo,37.6333,22.7333,293.42,85,15,1.16,GR,1728856903
198,inhambane,-23.865,35.3833,294.19,87,0,2.84,MZ,1728856905
199,road town,18.4167,-64.6167,304.17,66,20,2.06,VG,1728856885
200,carauari,-4.8828,-66.8958,303.94,44,70,0.41,BR,1728856907
201,saguenay,48.4168,-71.0657,280.61,69,75,3.6,CA,1728856717
202,montepuez,-13.1256,38.9997,294.14,81,11,2.22,MZ,1728856910
203,bilibino,68.0546,166.4372,265.72,76,100,0.69,RU,1728856911
204,enriquillo,17.9,-71.2333,300.83,78,39,4.58,DO,1728856912
205,kapuskasing,49.4169,-82.4331,280.2,53,20,5.14,CA,1728856914
206,rawlins,41.7911,-107.2387,296.09,15,0,2.06,US,1728856915
207,cockburn town,21.4612,-71.1419,302.53,75,52,6.42,TC,1728856917
208,dunedin,-45.8742,170.5036,284.71,62,2,3.58,NZ,1728856796
209,shuangjiang,26.1547,109.7138,290.11,95,100,1.4,CN,1728856919
210,trairi,-3.2778,-39.2689,299.0,76,68,4.41,BR,1728856751
211,montagu,-40.7667,144.9667,284.23,65,16,3.96,AU,1728856923
212,damghan,36.1683,54.348,291.33,45,2,0.68,IR,1728856925
213,castillo de locubin,37.5286,-3.9422,292.88,70,99,2.3,ES,1728856927
214,ghadamis,30.1337,9.5007,302.43,35,0,6.66,LY,1728856929
215,dumfries,38.5676,-77.328,299.01,55,24,0.89,US,1728856931
216,okha,53.5739,142.9478,276.4,79,85,3.72,RU,1728856932
217,zaozersk,69.4005,32.4476,276.35,79,100,6.08,RU,1728856933
218,port saint john's,-31.6229,29.5448,293.43,90,41,0.45,ZA,1728856935
219,sattahip,12.6664,100.9007,300.2,83,20,2.06,TH,1728856936
220,saint-joseph,-21.3667,55.6167,294.36,72,34,5.33,RE,1728856938
221,hasaki,35.7333,140.8333,295.48,55,26,6.19,JP,1728856939
222,monrovia,6.3005,-10.7969,298.3,85,99,2.02,LR,1728856941
223,narrabri,-30.3167,149.7833,289.17,80,100,5.59,AU,1728856942
224,touros,-5.1989,-35.4608,298.37,81,4,5.83,BR,1728856944
225,yamada,39.4667,141.95,285.41,73,15,1.1,JP,1728856945
226,stornoway,58.2093,-6.3865,282.13,81,75,9.26,GB,1728856946
227,fort bragg,35.139,-79.006,300.06,32,0,5.66,US,1728856723
228,tsiombe,-25.3,45.4833,295.06,48,0,4.48,MG,1728856949
229,taroa,8.7058,171.2275,301.88,75,9,6.59,MH,1728856950
230,bayanhongor,46.7167,100.1167,271.16,66,1,0.81,MN,1728856952
231,siverek,37.755,39.3167,293.9,50,13,1.53,TR,1728856953
232,jayapura,-2.5333,140.7,298.81,91,73,2.15,ID,1728856954
233,nguigmi,14.2495,13.1092,300.03,71,62,6.78,NE,1728856956
234,sault ste. marie,46.5168,-84.3333,287.31,24,0,4.63,CA,1728856691
235,cochin,9.9399,76.2602,297.14,89,100,2.43,IN,1728856958
236,karratha,-20.7377,116.8463,298.08,22,4,4.41,AU,1728856960
237,bredasdorp,-34.5322,20.0403,285.22,90,28,3.11,ZA,1728856961
238,warmbad,-28.45,18.7333,294.24,37,57,5.62,NA,1728856962
239,alofi,-19.0595,-169.9187,301.09,69,75,5.66,NU,1728856965
240,iskateley,67.6803,53.1512,273.62,98,63,5.69,RU,1728856966
241,sisimiut,66.9395,-53.6735,273.98,76,71,3.43,GL,1728856968
242,bazarnyye mataki,54.8833,49.9333,273.29,54,5,2.13,RU,1728856969
243,pailon,-17.65,-62.75,308.78,27,50,3.31,BO,1728856970
244,luderitz,-26.6481,15.1594,291.29,62,57,11.37,NA,1728856972
245,kamaishi,39.2667,141.8833,287.14,77,63,1.04,JP,1728856973
246,sebdou,34.637,-1.3314,294.54,50,86,3.29,DZ,1728856976
